SITE,sample_number,HABITAT,DEPTH,VELOCITY
LOWER,1,POOL,66,0.18
LOWER,2,POOL,49,0.16
LOWER,3,POOL,53,0.22
LOWER,4,POOL,50,0.17
LOWER,5,POOL,69,0.22
LOWER,6,POOL,62,0.15
LOWER,7,POOL,53,0.17
LOWER,8,POOL,51,0.14
LOWER,9,POOL,61,0.14
LOWER,10,POOL,60,0.17
LOWER,11,POOL,77,0.2
LOWER,12,POOL,55,0.2
UPPER,1,RIFFLE,14,0.24
UPPER,2,RIFFLE,14,0.19
UPPER,3,RIFFLE,16,0.2
UPPER,4,RIFFLE,17,0.29
UPPER,5,RIFFLE,20,0.22
UPPER,6,RIFFLE,15,0.28
UPPER,7,RIFFLE,15,0.28
UPPER,8,RIFFLE,19,0.38
UPPER,9,RIFFLE,16,0.4
UPPER,10,RIFFLE,24,0.49
UPPER,11,RIFFLE,18,0.3
UPPER,12,RIFFLE,14,0.47
UPPER,13,RIFFLE,19,0.3
UPPER,1,RUN,31,0.08
UPPER,2,RUN,12,0.09
UPPER,3,RUN,14,0.05
UPPER,4,RUN,21,0.07
UPPER,5,RUN,19,0.08
UPPER,6,RUN,21,0.12
UPPER,7,RUN,21,0.31
UPPER,8,RUN,17,0.2
UPPER,9,RUN,22,0.18
UPPER,10,RUN,26,0.16
UPPER,11,RUN,27,0.09
UPPER,12,RUN,16,0.27
UPPER,13,RUN,25,0.12
UPPER,1,BACKWATER,12,0
UPPER,2,BACKWATER,6,0
UPPER,3,BACKWATER,6,0
UPPER,4,BACKWATER,4,0
UPPER,5,BACKWATER,32,0.02
UPPER,6,BACKWATER,39,0.04
UPPER,7,BACKWATER,31,0
UPPER,8,BACKWATER,34,0.03
UPPER,9,BACKWATER,36,0.05
UPPER,10,BACKWATER,10,0
UPPER,11,BACKWATER,12,0
UPPER,12,BACKWATER,10,0
UPPER,1,STREAM MARGIN,12,0
UPPER,2,STREAM MARGIN,10,0
UPPER,3,STREAM MARGIN,11,0.03
UPPER,4,STREAM MARGIN,21,0.02
UPPER,5,STREAM MARGIN,21,0.09
UPPER,6,STREAM MARGIN,13,0.09
UPPER,7,STREAM MARGIN,12,0.12
UPPER,8,STREAM MARGIN,14,0.11
UPPER,9,STREAM MARGIN,10,0.05
UPPER,10,STREAM MARGIN,15,0.03
UPPER,11,STREAM MARGIN,8,0
UPPER,12,STREAM MARGIN,15,0.06
UPPER,13,STREAM MARGIN,40,0.01
UPPER,1,VEGETATION,13,0
UPPER,2,VEGETATION,10,0
UPPER,3,VEGETATION,10,0
UPPER,4,VEGETATION,9,0
UPPER,5,VEGETATION,9,0
UPPER,6,VEGETATION,10,0.1
UPPER,7,VEGETATION,9,0.15
UPPER,8,VEGETATION,10,0.15
UPPER,9,VEGETATION,8,0
UPPER,10,VEGETATION,7,0
UPPER,11,VEGETATION,20,0
UPPER,12,VEGETATION,7,0
UPPER,13,VEGETATION,18,0
UPPER,1,POOL,20,0.04
UPPER,2,POOL,21,0.02
UPPER,3,POOL,15,0
UPPER,4,POOL,15,0
UPPER,5,POOL,40,0
UPPER,6,POOL,37,0.01
UPPER,7,POOL,22,0.02
UPPER,8,POOL,24,0.02
UPPER,9,POOL,45,0
UPPER,10,POOL,25,0.02
UPPER,11,POOL,23,0.05
UPPER,12,POOL,34,0.01
UPPER,13,POOL,40,0.01
