MACRO,BLOCK,ENCLOSURE,TREAT,SILT_VOL1,SILT_VOL2,SILT_VOL3,SILT_VOL4,CHLA1,CHLA2,CHLA3,CHLA4,AFDM1,AFDM2,AFDM3,AFDM4,SILT_DRY1,SILT_DRY2,SILT_DRY3,SILT_DRY4,OM1,OM2,OM3,OM4,INVERTS1,INVERTS2,INVERTS3,INVERTS4,SQRT_CHLA(1),SQRT_CHLA(2),SQRT_CHLA(3),SQRT_CHLA(4),LN_AFDM1,LN_AFDM2,LN_AFDM3,LN_AFDM4,LN_SILT_DRY1,LN_SILT_DRY2,LN_SILT_DRY3,LN_SILT_DRY4,LN_INVERTS1,LN_INVERTS2,LN_INVERTS3,LN_INVERTS4,LN_OM1,LN_OM2,LN_OM3,LN_OM4,OMINV100(1),OMINV100(2),OMINV100(3),OMINV100(4),LN_CHLA1,LN_CHLA2,LN_CHLA3,LN_CHLA4,ASNOMINV1,ASNOMINV2,ASNOMINV3,ASNOMINV4,ASNOM1,ASNOM2,ASNOM3,ASNOM4,BIOMINV1,BIOMINV2,BIOMINV3,BIOMINV4,LN_BIOMINV1,LN_BIOMINV2,LN_BIOMINV3,LN_BIOMINV4,BIOMDET1,BIOMDET2,BIOMDET3,BIOMDET4,LN_BIOMDET1,LN_BIOMDET2,LN_BIOMDET3,LN_BIOMDET4,LN_BDET1,LN_BDET2,LN_BDET3,LN_BDET4
margin,4,b,n,50,80,65,46,101.591358,164.6498765,116.2296296,82.30857613,1328.703704,1933.333333,1664.722222,1065.950617,1458.950617,2127.407407,1813.580247,1156.814815,8.927438121,9.122562674,8.207964602,7.854688267,0.098765432,1.24691358,0.364197531,0.358024691,10.12873921,12.87050413,10.82726326,9.127353183,7.192711417,7.567518016,7.418014075,6.972559968,7.28615789,7.663129283,7.503609451,7.054289727,0.094187215,0.809557532,0.310566366,0.306031211,2.295302451,2.31476686,2.220068827,2.180947066,93.75,54.95049505,49.15254237,60.34482759,4.620958473,5.103821259,4.7555678,4.410475308,69.63592401,33.33308529,29.44091751,37.11729482,5.121868485,5.234124834,4.708117884,4.505049197,0.0015,0.0111,0.0029,0.0035,-5.991464547,-4.414549826,-5.546778726,-5.403677882,130.2469136,194.0740741,148.8580247,90.86419753,4.877080386,5.273379353,5.009688344,4.520311373,4.869431984,5.268239911,5.002992997,4.509366057
margin,4,c,l,65,69,32,39,81.93049383,112.8584444,58.64190947,39.24459259,1246.234568,1624.907407,822.7160494,595.1111111,1375.030864,1759.5,910.0246914,685.1481481,9.366793114,7.649479545,9.594095941,13.14125088,1.055555556,1.037037037,0.080246914,1.302469136,9.106618133,10.67044725,7.722817456,6.343862593,7.128684034,7.393821343,6.71382587,6.390427078,7.226958449,7.473353139,6.81457,6.531093564,0.720546155,0.711496319,0.077189639,0.833982084,2.338607728,2.157499151,2.360296859,2.64909612,97.07602339,72.61904762,100,56.39810427,4.405871252,4.726134329,4.07144962,3.669813666,76.11050331,46.56801105,90.00007602,34.33159198,5.374660548,4.387118254,5.505484858,7.551229796,0.0166,0.0122,0.0013,0.0119,-4.039856377,-4.327538449,-6.074846156,-4.350527968,128.7962963,134.5925926,87.30864198,90.03703704,4.86596627,4.909654747,4.480837973,4.511266424,4.858232058,4.902252383,4.46944945,4.500221108
margin,5,a,s,30,50,150,58,60.83209877,51.45308642,294.5185185,119.8456626,682.4074074,1178.395062,4066.666667,1408.82716,747.7777778,1309.259259,4444.444444,1530.197531,8.741951461,9.995285243,8.5,7.931679925,1.148148148,1.240740741,0.166666667,0.703703704,7.863338907,7.242450305,17.19065207,10.99298242,6.527091179,7.072756926,8.310824813,7.251222395,6.618442248,7.177980304,8.39963513,7.333805408,0.764606145,0.806806499,0.15415068,0.53280453,2.276441453,2.397466567,2.251291799,2.189604499,97.31182796,64.17910448,48.14814815,57.89473684,4.10811759,3.940670449,5.685341882,4.78620477,76.68498194,39.92553694,28.78222899,35.37657003,5.015175156,5.736460363,4.876028988,4.549300269,0.0181,0.0129,0.0013,0.0066,-3.958066944,-4.275866439,-6.074846156,-4.879607032,65.37037037,130.8641975,377.7777778,121.3703704,4.195250728,4.881772586,5.936949695,4.807052269,4.180069103,4.874160125,5.934306133,4.798846783
margin,5,b,n,36,46,67,77,76.68,61.61046914,105.8677202,120.678963,869.1111111,1207.074074,1476.067901,1599.41358,942.8888889,1341.666667,1625.37037,1778.604938,7.824652369,10.03174603,9.185750636,10.0748263,1.697530864,0.956790123,0.685185185,0.438271605,8.813625815,7.912677748,10.33768447,11.03081878,6.768620917,7.096782696,7.297814254,7.378017362,6.850008457,7.202412965,7.394106044,7.484146674,0.99233686,0.671305439,0.52187546,0.363442118,2.17754921,2.400777119,2.320989747,2.404674631,99.27272727,68.38709677,63.96396396,78.87323944,4.339640918,4.12083181,4.662190392,4.793133821,83.08574433,43.14691617,39.76498717,52.06725306,4.487786751,5.757456404,5.270481553,5.782265286,0.0273,0.0106,0.0071,0.0056,-3.564893474,-4.456750181,-4.815891217,-5.02068563,73.77777778,134.5925926,149.3024691,179.191358,4.314520752,4.909654747,5.012649725,5.194019386,4.301057572,4.902252383,5.005974242,5.188454274
margin,5,c,l,41,46,50,23,81.53195885,71.69071605,96.30288066,42.33703704,937.4320988,1140.345679,1162.037037,518.2098765,1022.469136,1243.987654,1266.049383,563.3580247,8.316831683,8.33143118,8.215504632,8.014112903,0.333333333,0.462962963,0.37037037,0.351851852,9.084710169,8.52588506,9.864222253,6.583087197,6.844210503,7.039963265,7.058789998,6.252308188,6.930953249,7.126880893,7.144446156,6.335688846,0.287682072,0.380463806,0.315081047,0.301475395,2.231822623,2.233388399,2.220887352,2.19879145,79.62962963,68,95,66.66666667,4.400995076,4.272361256,4.567498232,3.745662283,52.77791068,42.84367923,71.80518831,41.81035021,4.770708192,4.779102227,4.712452647,4.596681763,0.0043,0.0051,0.0057,0.0038,-5.240048458,-5.099466508,-5.005647753,-5.339139361,85.03703704,103.6419753,104.0123457,45.14814815,4.454777867,4.650544765,4.654077921,3.831856833,4.443086891,4.640942415,4.644509601,3.809949263
margin,6,a,l,60,87,26,30,122.505679,167.2111358,48.49738272,55.64296296,1251.851852,2148.148148,656.5802469,732.4074074,1361.481481,2340.407407,714.8395062,796.4814815,8.052230686,8.214777421,8.149977548,8.044640781,0.191358025,0.771604938,0.234567901,0.413580247,11.11331089,12.96962358,7.035437635,7.526151936,7.133177713,7.672826832,6.488566805,6.597701356,7.217062935,7.758507484,6.573455988,6.681458614,0.175093854,0.571885881,0.210721031,0.346125668,2.203011212,2.220808437,2.213751426,2.202172403,100,72,28.94736842,62.68656716,4.808157388,5.1192573,3.881509832,4.018955618,90.00007602,46.05451934,16.8264631,38.81928697,4.618592473,4.712034572,4.674782033,4.614229621,0.0042,0.009,0.0011,0.0042,-5.259096653,-4.605170186,-6.165817934,-5.259096653,109.6296296,192.2592593,58.25925926,64.07407407,4.706187952,5.2640326,4.081922042,4.175526222,4.697107681,5.25884477,4.064903037,4.160039821
margin,6,b,s,50,66,67,48,139.0781893,121.3731852,132.8436296,98.31308642,1266.666667,1617,1662.179012,1092.740741,1377.469136,1774.666667,1812.308642,1203.259259,8.043916648,8.884297521,8.283888635,9.18492982,0.222222222,0.580246914,0.969135802,2.37037037,11.83546321,11.06224142,11.56908076,9.965595136,7.144933219,7.388946098,7.416486118,6.997358972,7.228728841,7.481931218,7.502908435,7.093619934,0.200670695,0.457581109,0.677594768,1.215022641,2.202092338,2.290947389,2.228280493,2.320909159,100,67.0212766,45.85987261,86.45833333,4.935036288,4.798869974,4.889172719,4.588157146,90.00007602,42.08352385,27.29674582,59.83521191,4.613813374,5.09705211,4.751767842,5.270009263,0.0036,0.0063,0.0072,0.0332,-5.381698975,-4.919880931,-4.803621125,-3.375529635,110.8024691,157.6666667,150.1296296,110.5185185,4.716733646,5.066805566,5.018137943,4.714190662,4.707749059,5.0604831,5.011499118,4.705183095
margin,6,c,n,45,62,62,65,85.40501372,112.9183416,106.1364294,106.5998091,1039.085391,1630.885802,1420.506173,1576.437037,1138.809671,1793.157407,1554.851852,1736.024691,8.726960299,9.001685655,8.640766497,9.088743704,2.49382716,0.62962963,0.475308642,0.841975309,9.295429722,10.67325356,10.35067289,10.37303278,6.947058095,7.397491559,7.259472274,7.36355668,7.038616572,7.49229078,7.349778489,7.459928981,1.250997743,0.488352768,0.388867217,0.610838533,2.274901442,2.302753644,2.266000618,2.311420318,,,,,4.447404808,4.726664916,4.664725336,4.66908172,,,,,5.006552892,5.164581199,4.956980172,5.214667142,,,,,,,,,99.72427984,162.2716049,134.345679,159.5876543,4.612386881,5.095415102,4.907832091,5.078839926,4.602409176,5.089271505,4.900416172,5.072593328
margin,7,a,s,40,52,36,30,92.38765432,96.08316049,92.56296296,87.67185185,926.9135802,1017.851852,902,680.7407407,1015.802469,1118,979.1111111,745,8.750607681,8.957795004,7.875624149,8.625403927,2.549382716,0.734567901,0.172839506,0.648148148,9.6637288,9.853078732,9.672794992,9.416573254,6.832938604,6.926431637,6.805722553,6.52464944,6.924418148,7.020190708,6.887665944,6.6147256,1.266773706,0.550758334,0.159427737,0.499652323,2.277329609,2.298355662,2.18330866,2.264405846,98.30508475,58.82352941,39.28571429,55.23809524,4.525993358,4.565214072,4.527889094,4.473600888,79.43610221,36.03190951,23.13241594,33.5305384,5.020153888,5.13933168,4.517081859,4.948145075,0.0406,0.007,0.0011,0.0058,-3.179655112,-4.828313737,-6.165817934,-4.990832667,88.88888889,100.1481481,77.11111111,64.25925926,4.49857434,4.616586255,4.358132314,4.17836794,4.48738715,4.606650571,4.345247383,4.162925826
margin,7,b,n,45,45,50,40,77.52148148,96.11296296,97.55925926,116.5451852,1040.833333,1106.388889,1115.432099,877.7777778,1146.111111,1195.277778,1230.864198,968.3950617,9.185651963,7.436672089,9.378134403,9.357470678,0.407407407,0.271604938,0.358024691,0.765432099,8.861234761,9.854590959,9.92770161,10.84182573,6.948737261,7.009760171,7.017893253,6.778532053,7.045001984,7.086970163,7.116283909,6.876672229,0.341749294,0.240279834,0.306031211,0.568395476,2.32098006,2.132587929,2.339701132,2.337708064,90.90909091,75,65.51724138,79.03225806,4.350555078,4.565524197,4.580459981,4.758279053,65.3800779,48.59041893,40.93275915,52.21571148,5.270424778,4.264840072,5.381187364,5.369295619,0.006,0.0033,0.0038,0.0098,-4.96184513,-5.449140256,-5.339139361,-4.528209145,105.2777778,88.88888889,115.4320988,90.61728395,4.666056212,4.49857434,4.75730826,4.517619943,4.65660236,4.48738715,4.748682468,4.506644967
