TREAT,RAD_GROW
DARK,15
DARK,20
DARK,11
DARK,30
DARK,33
DARK,22
DARK,37
DARK,20
DARK,29
DARK,35
DARK,8
DARK,10
DARK,15
DARK,25
LIGHT,10
LIGHT,11
LIGHT,15
LIGHT,20
LIGHT,22
LIGHT,21
LIGHT,25
LIGHT,27
LIGHT,9
LIGHT,20
LIGHT,15
LIGHT,10
LIGHT,20
LIGHT,4
